,0,1,2,3,4,5,6,7,8,9
0,fri_pickl ,go_back ,tater_tot ,sweet_potato ,mahi_mahi ,burger_compani ,hot_dog ,chicken_coop ,can_get ,fish_taco
1,oliv_garden ,fri_chicken ,beer_select ,laid_back ,cask_ale ,loco_lime ,go_back ,peanut_butter ,first_time ,24_hour
2,go_back ,tasti_yo ,great_place ,don_know ,ameli_without ,eat_ameli ,without_mind ,first_time ,realli_good ,love_place
3,crepe_cellar ,great_food ,smelli_cat ,across_street ,everi_time ,close_monday ,frozen_yogurt ,best_way ,fish_taco ,next_time
4,go_back ,fish_taco ,crepe_cellar ,wait_staff ,breakfast_sandwich ,place_go ,realli_great ,realli_good ,fun_place ,tater_tot
5,fri_chicken ,crepe_cellar ,open_kitchen ,great_place ,price_chicken ,go_back ,chicken_coop ,ve_got ,next_time ,good_beer
6,smelli_cat ,fish_taco ,crepe_cellar ,go_back ,fri_chicken ,beer_select ,next_time ,pretti_good ,don_like ,can_get
7,realli_good ,pretti_good ,ve_ever ,fri_chicken ,smelli_cat ,good_place ,go_back ,loco_lime ,peanut_butter ,fish_taco
8,fri_chicken ,tasti_yo ,great_place ,go_back ,beer_select ,first_time ,mexican_restaur ,yo_tasti ,crepe_cellar ,next_time
9,fish_taco ,go_back ,littl_bit ,crepe_cellar ,queen_citi ,pretti_good ,great_food ,don_know ,mix_green ,1_4
