,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,crepe ,good ,time ,place ,order ,go ,just ,dessert ,great ,cellar ,can ,food ,french ,coffe ,ve ,shrimp ,realli ,look ,breakfast ,love ,like ,night ,fill ,brunch ,sweet ,also ,flavor ,littl ,definit ,charlott
1,market ,farmer ,can ,open ,local ,thing ,food ,bar ,get ,vendor ,great ,go ,look ,saturday ,just ,see ,famili ,tabl ,kitchen ,want ,restaur ,even ,someth ,park ,price ,take ,night ,garden ,produc ,close
2,yo ,yogurt ,get ,tasti ,top ,coffe ,flavor ,time ,one ,can ,frozen ,cat ,like ,go ,ve ,first ,good ,littl ,smelli ,even ,place ,m ,price ,still ,pretti ,back ,don ,tart ,enjoy ,ice
3,place ,coffe ,check ,time ,charlott ,decor ,like ,realli ,great ,can ,servic ,stop ,neighborhood ,d ,food ,seat ,good ,one ,go ,dinner ,5 ,make ,dessert ,lot ,enjoy ,lunch ,french ,peopl ,will ,hour
4,sweet ,even ,night ,place ,tri ,sandwich ,nice ,love ,star ,servic ,tast ,flavor ,got ,attent ,cornbread ,final ,head ,care ,back ,last ,day ,fantast ,think ,share ,also ,work ,tea ,situat ,pumpkin ,pretzel
5,taco ,fish ,order ,5 ,good ,crepe ,salsa ,rice ,like ,great ,bean ,realli ,love ,cabo ,mahi ,just ,time ,ask ,will ,chip ,give ,food ,cilantro ,said ,make ,go ,review ,corn ,back ,went
6,good ,place ,food ,like ,great ,just ,burger ,go ,order ,realli ,tri ,get ,fri ,beer ,servic ,bar ,one ,pizza ,menu ,time ,want ,back ,can ,chees ,also ,pretti ,night ,restaur ,got ,ve
7,just ,ameli ,place ,love ,chocol ,like ,tri ,dessert ,good ,coffe ,pastri ,can ,great ,go ,one ,sweet ,also ,tart ,charlott ,come ,make ,delici ,day ,littl ,get ,lunch ,got ,food ,friend ,bakeri
8,ve ,time ,tea ,chocol ,got ,without ,set ,order ,queso ,us ,spice ,place ,pair ,produc ,realli ,mind ,top ,best ,beer ,ameli ,eat ,plu ,ever ,crab ,http ,www ,72157623503537096 ,yay ,wedoitforlov ,photo
9,chicken ,place ,fri ,good ,like ,go ,taco ,beer ,just ,charlott ,time ,one ,eat ,food ,get ,back ,don ,m ,will ,shrimp ,ve ,can ,price ,best ,also ,tri ,love ,great ,realli ,fish
