,0,1,2,3,4,5,6,7,8,9
0,good ,order ,food ,like ,realli ,go ,just ,fri ,servic ,place
1,great ,food ,good ,julia ,eat ,place ,friendli ,servic ,get ,tri
2,good ,dim ,sum ,go ,book ,matti ,coffe ,charlott ,music ,even
3,place ,food ,like ,love ,tea ,just ,go ,ve ,also ,can
4,place ,great ,food ,can ,get ,good ,like ,time ,chicken ,dim
5,food ,place ,good ,restaur ,great ,order ,lunch ,one ,get ,room
6,beer ,good ,german ,food ,can ,great ,brew ,place ,just ,charlott
7,good ,food ,place ,got ,like ,order ,chicken ,back ,one ,get
8,like ,one ,place ,fresh ,lot ,food ,re ,good ,get ,want
9,chicken ,food ,place ,bojangl ,get ,menu ,side ,great ,nice ,like
