,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,good ,order ,food ,like ,realli ,go ,just ,fri ,servic ,place ,get ,even ,one ,love ,though ,well ,can ,alway ,thing ,great ,time ,sandwich ,tri ,5 ,look ,restaur ,pretti ,star ,never ,sure
1,great ,food ,good ,julia ,eat ,place ,friendli ,servic ,get ,tri ,staff ,full ,alway ,favorit ,restaur ,realli ,even ,coffe ,hot ,store ,visit ,time ,hit ,tabl ,love ,atmospher ,tasti ,recommend ,diner ,mention
2,good ,dim ,sum ,go ,book ,matti ,coffe ,charlott ,music ,even ,julia ,enjoy ,habitat ,food ,place ,use ,hous ,frozen ,item ,diner ,can ,live ,breakfast ,atlanta ,human ,latt ,door ,right ,around ,time
3,place ,food ,like ,love ,tea ,just ,go ,ve ,also ,can ,don ,never ,good ,servic ,realli ,get ,great ,want ,one ,meal ,much ,serv ,littl ,pho ,think ,friend ,chicken ,ever ,sweet ,item
4,place ,great ,food ,can ,get ,good ,like ,time ,chicken ,dim ,tri ,go ,sum ,just ,love ,restaur ,m ,one ,charlott ,fri ,peopl ,pho ,order ,look ,bbq ,lunch ,sandwich ,pretti ,tasti ,burger
5,food ,place ,good ,restaur ,great ,order ,lunch ,one ,get ,room ,littl ,price ,time ,ve ,just ,serv ,mexican ,staff ,chicken ,stay ,alway ,locat ,like ,went ,menu ,friendli ,want ,back ,don ,come
6,beer ,good ,german ,food ,can ,great ,brew ,place ,just ,charlott ,go ,tap ,come ,like ,breweri ,store ,one ,tour ,realli ,thing ,omb ,better ,take ,lot ,nice ,groceri ,littl ,card ,get ,sell
7,good ,food ,place ,got ,like ,order ,chicken ,back ,one ,get ,just ,charlott ,go ,sauc ,chees ,great ,time ,fri ,eat ,well ,tri ,m ,ve ,can ,bbq ,thing ,sweet ,menu ,potato ,tabl
8,like ,one ,place ,fresh ,lot ,food ,re ,good ,get ,want ,pho ,just ,time ,flavor ,alway ,realli ,come ,don ,can ,ve ,restaur ,know ,m ,littl ,find ,d ,tri ,go ,eat ,thing
9,chicken ,food ,place ,bojangl ,get ,menu ,side ,great ,nice ,like ,order ,back ,can ,one ,anoth ,fri ,potato ,go ,mash ,time ,well ,look ,just ,pull ,find ,servic ,m ,also ,charlott ,littl
