,0,1,2,3,4,5,6,7,8,9
0,pizza ,slice ,place ,good ,great ,chees ,order ,time ,food ,don
1,great ,place ,coffe ,just ,beer ,good ,time ,nice ,can ,back
2,place ,love ,browni ,salt ,caramel ,pastri ,line ,like ,dessert ,best
3,time ,food ,get ,wait ,like ,minut ,go ,us ,one ,good
4,good ,great ,food ,place ,love ,go ,beer ,servic ,tri ,time
5,like ,order ,serv ,breakfast ,bed ,restaur ,good ,food ,sauc ,room
6,place ,great ,taco ,beer ,love ,food ,like ,noda ,can ,tri
7,food ,fri ,order ,burger ,good ,chicken ,place ,servic ,just ,tri
8,beer ,great ,breweri ,realli ,place ,good ,get ,can ,dog ,food
9,like ,chees ,mac ,food ,place ,truck ,burger ,one ,best ,popsicl
