,0,1,2,3,4,5,6,7,8,9
0,good ,order ,like ,food ,realli ,go ,just ,get ,servic ,fri
1,great ,food ,good ,julia ,eat ,place ,servic ,friendli ,staff ,tri
2,good ,dim ,sum ,matti ,book ,go ,coffe ,charlott ,music ,even
3,place ,food ,love ,like ,tea ,go ,just ,ve ,also ,can
4,place ,great ,food ,can ,get ,like ,good ,time ,chicken ,dim
5,food ,place ,good ,great ,restaur ,order ,lunch ,room ,price ,get
6,beer ,good ,brew ,german ,omb ,great ,place ,can ,food ,charlott
7,good ,food ,place ,got ,order ,like ,chicken ,back ,just ,one
8,pho ,like ,place ,one ,fresh ,lot ,time ,good ,bowl ,noodl
9,chicken ,food ,place ,bojangl ,get ,side ,menu ,nice ,great ,like
