,0,1,2,3,4,5,6,7,8,9
0,pizza ,slice ,place ,chees ,good ,don ,order ,flavor ,m ,crust
1,coffe ,great ,place ,just ,room ,good ,nice ,staff ,work ,can
2,place ,love ,line ,pastri ,browni ,salt ,good ,caramel ,dessert ,like
3,time ,food ,us ,wait ,order ,minut ,get ,servic ,tabl ,go
4,great ,food ,good ,place ,go ,love ,chees ,servic ,delici ,alway
5,like ,bed ,order ,serv ,restaur ,breakfast ,sauc ,good ,omelet ,side
6,taco ,place ,great ,fish ,food ,love ,salsa ,servic ,tri ,beer
7,fri ,chicken ,burger ,good ,food ,order ,place ,just ,like ,realli
8,beer ,great ,breweri ,place ,good ,realli ,bar ,select ,like ,can
9,truck ,popsicl ,mac ,pop ,3 ,friday ,king ,one ,flavor ,gem
