,0,1,2,3,4,5,6,7,8,9
0,owner_great ,go_back ,first_time ,park_lot ,next_time ,custom_servic ,food_good ,feel_like ,definit_back ,long_time
1,great_food ,prepar_food ,food_great ,re_look ,food_servic ,place_like ,go_back ,park_lot ,take_order ,hard_find
2,quick_trip ,good_servic ,food_good ,don_know ,servic_good ,sweet_tea ,good_good ,staff_alway ,feel_place ,good_don
3,alway_great ,us_explain ,place_shot ,came_greet ,hope_owner ,wrote_review ,tasti_definit ,good_sweet ,prepar_fresh ,food_kitchen
4,servic_great ,come_back ,food_delici ,definit_come ,first_time ,delici_food ,feel_like ,want_tri ,love_new ,make_feel
5,great_place ,staff_great ,come_back ,speak_spanish ,food_alway ,great_drink ,much_food ,write_home ,noth_write ,food_serv
6,go_back ,can_wait ,hush_puppi ,much_better ,music_factori ,great_food ,mexican_restaur ,wait_go ,also_great ,across_street
7,ny_pizza ,rice_bean ,got_curri ,just_open ,jamaican_cuisin ,soul_food ,good_food ,mac_chees ,new_locat ,got_food
8,green_tea ,pretti_good ,m_fan ,alway_friendli ,good_m ,order_larg ,comedi_zone ,huge_select ,4_awesom ,doesn_scare
9,alway_get ,come_back ,will_alway ,place_compar ,got_new ,move_new ,nice_noth ,flavor_frozen ,place_10x ,speedway_turkey
