,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,owner_great ,go_back ,first_time ,park_lot ,next_time ,custom_servic ,food_good ,feel_like ,definit_back ,long_time ,ve_ever ,realli_good ,5_star ,n_bottl ,soul_food ,pull_pork ,pretti_good ,beef_n ,good_food ,drive_thru ,bake_potato ,green_bean ,great_price ,n_chees ,mac_n ,mac_chees ,will_definit ,hot_dog ,don_think ,will_never
1,great_food ,prepar_food ,food_great ,re_look ,food_servic ,place_like ,go_back ,park_lot ,take_order ,hard_find ,pretti_much ,great_will ,know_re ,cook_perfectli ,type_place ,hole_wall ,will_leav ,d_go ,cash_regist ,look_new ,seem_problem ,limit_menu ,lot_will ,stand_park ,wait_one ,said_heck ,right_across ,success_trip ,avoid_gunshot ,gunshot_park
2,quick_trip ,good_servic ,food_good ,don_know ,servic_good ,sweet_tea ,good_good ,staff_alway ,feel_place ,good_don ,night_parti ,tea_good ,leav_full ,friendli_clean ,can_head ,bed_rice ,perfect_fri ,y_problem ,know_y ,park_lot ,mac_chees ,can_get ,realli_good ,great_place ,look_like ,come_back ,go_back ,bubbl_tea ,n_chees ,mac_n
3,alway_great ,us_explain ,place_shot ,came_greet ,hope_owner ,wrote_review ,tasti_definit ,good_sweet ,prepar_fresh ,food_kitchen ,coupl_month ,food_truck ,custom_servic ,can_get ,good_food ,first_time ,next_time ,go_back ,will_definit ,great_place ,park_lot ,definit_back ,reason_price ,middl_eastern ,ve_ever ,great_servic ,great_great ,look_like ,year_ago ,mac_chees
4,servic_great ,come_back ,food_delici ,definit_come ,first_time ,delici_food ,feel_like ,want_tri ,love_new ,make_feel ,delici_servic ,like_famili ,fish_fri ,make_want ,pizza_place ,great_definit ,ladi_take ,delici_fish ,good_ny ,big_floppi ,didn_disappoint ,one_cook ,nyc_place ,awesom_experi ,keep_good ,food_origin ,origin_delici ,new_food ,perfect_fianc ,fri_season
5,great_place ,staff_great ,come_back ,speak_spanish ,food_alway ,great_drink ,much_food ,write_home ,noth_write ,food_serv ,great_experi ,decid_give ,great_locat ,brought_us ,know_place ,doesn_seem ,say_place ,went_place ,greet_us ,first_review ,didn_think ,back_give ,realli_hope ,peopl_come ,though_menu ,place_within ,food_terrif ,extrem_afford ,texicali_didn ,eat_great
6,go_back ,can_wait ,hush_puppi ,much_better ,music_factori ,great_food ,mexican_restaur ,wait_go ,also_great ,across_street ,fri_fish ,look_forward ,caribbean_hut ,first_experi ,fri_hush ,plu_got ,fresh_can ,fri_perfect ,meet_owner ,great_mexican ,food_prepar ,puppi_best ,taco_tuesday ,fish_like ,piec_fri ,ever_made ,side_also ,place_beat ,grab_food ,american_chees
7,ny_pizza ,rice_bean ,got_curri ,just_open ,jamaican_cuisin ,soul_food ,good_food ,mac_chees ,new_locat ,got_food ,curri_chicken ,last_time ,place_much ,kind_place ,tri_place ,food_go ,well_worth ,hole_wall ,place_didn ,time_tri ,food_think ,chees_good ,beef_patti ,give_tri ,realli_cool ,worth_drive ,plaza_midwood ,home_good ,fellow_yelper ,everi_bite
8,green_tea ,pretti_good ,m_fan ,alway_friendli ,good_m ,order_larg ,comedi_zone ,huge_select ,4_awesom ,doesn_scare ,fresh_brew ,ok_beef ,pizza_like ,back_game ,girlfriend_decid ,parec_que ,esta_calient ,por_un ,gusta_el ,ay_air ,buen_rato ,si_te ,calor_aqui ,un_buen ,aqui_esta ,que_ay ,calient_parec ,vuelvo_por ,air_acondicionado ,acondicionado_vuelvo
9,alway_get ,come_back ,will_alway ,place_compar ,got_new ,move_new ,nice_noth ,midwest_don ,place_10x ,turkey_hill ,get_come ,flavor_frozen ,better_flavor ,10x_better ,speedway_turkey ,hill_place ,frozen_drink ,compar_speedway ,don_place ,spread_word ,banh_mi ,look_like ,tast_like ,front_desk ,even_though ,custom_servic ,15_minut ,will_definit ,fri_chicken ,can_get
